date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2010-11-15,302.333,-1398.0,3243.0,-1187.0,3034.0,-527.0,2540.0,0.0,3.0,0.0,9122.333,-3112.0
2005-01-24,1496.0,-9.5,2508.0,-3781.0,3330.0,-461.0,2441.0,0.0,1381.0,-15.0,11156.0,-4266.5
2005-01-25,534.0,0.0,2527.0,-2597.0,2637.0,-511.0,2441.0,0.0,1031.0,-40.0,9170.0,-3148.0
2010-11-16,1963.986,-20.0,488.0,-802.0,2964.0,-138.0,2440.0,0.0,253.0,-73.0,8108.986,-1033.0
2010-11-17,1591.0,0.0,5.0,-2379.0,3042.0,-13.0,2540.0,0.0,3.0,-23.0,7181.0,-2415.0
2005-01-26,27.0,-231.0,3405.0,-2366.0,1948.0,-650.0,2629.0,0.0,585.0,-37.0,8594.0,-3284.0
2005-01-27,51.0,-1223.0,2514.0,-2971.0,2606.0,-264.0,2441.0,0.0,506.0,-522.0,8118.0,-4980.0
2010-11-18,992.0,0.0,0.0,-3911.0,3064.0,-120.0,2493.0,0.0,178.0,-74.0,6727.0,-4105.0
2005-01-28,0.0,-1272.0,2463.0,-2695.0,2606.0,-190.0,2441.0,0.0,556.0,-22.0,8066.0,-4179.0
2005-01-29,1579.0,0.0,2607.0,-5206.0,3182.0,-703.0,2541.0,-83.0,933.0,-28.0,10842.0,-6020.0
2010-11-19,1135.0,0.0,175.0,-2556.0,3050.0,-24.0,2031.0,0.0,945.0,-270.0,7336.0,-2850.0
2005-01-30,1950.0,0.0,2673.0,-6450.0,3226.0,-615.0,2426.0,-192.0,1181.0,-293.0,11456.0,-7550.0
2010-11-20,1757.0,0.0,855.0,-497.0,3060.0,-81.0,2543.0,0.0,13.0,0.0,8228.0,-578.0
2005-01-31,1635.0,-14.5,3292.0,-6746.0,3182.0,-1334.0,2629.0,0.0,1313.0,-21.0,12051.0,-8115.5
